gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1353059427	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS301376920	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Serengeti NP (Mara and Shinyanga Provinces)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.46128	34.68384							2015-03-06T01:00Z	6	3	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS301376920			CC0_1_0		obsr453334			2016-11-25T04:40Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1352872898	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS300951780	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	PT	Pardieiro	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.12818	-8.8366							2012-10-05T02:00Z	5	10	2012	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS300951780			CC0_1_0		obsr278756			2016-11-25T04:35Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1352731906	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS300661827	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Tanzania - Arusha Park and area	e2e717bf-551a-4917-bdc9-4fa0f342c530	-3.26666	36.78772							2015-02-17T01:00Z	17	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS300661827			CC0_1_0		obsr37854			2016-11-25T04:32Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1352390167	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS300217377	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	PT	Perímetro Florestal do Barão de São João	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.13655	-8.79666							2013-10-06T02:00Z	6	10	2013	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS300217377			CC0_1_0		obsr544810			2016-11-25T04:24Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1351596462	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS298957782	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Lake Nakuru NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	-0.35678	36.09026							2015-02-14T01:00Z	14	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS298957782			CC0_1_0		obsr427235			2016-11-25T03:57Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1351388904	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS298704591	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Angama Mara	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.28975	34.9954							2015-01-29T01:00Z	29	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS298704591			CC0_1_0		obsr357615			2016-11-25T03:53Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1349734598	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS296632514	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Angama Lodge (Ol Kurruk)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.27444	34.97059							2015-02-10T01:00Z	10	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS296632514			CC0_1_0		obsr140028			2016-11-25T03:23Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1349174066	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS295734581	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Olare Motorogi Conservancy	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.31007	35.20826							2015-02-07T01:00Z	7	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS295734581			CC0_1_0		obsr359008			2016-11-25T03:12Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1349038531	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS295543559	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Bale Mts--Harenna Forest	e2e717bf-551a-4917-bdc9-4fa0f342c530	6.748	39.7147							2015-01-03T01:00Z	3	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS295543559			CC0_1_0		obsr188812			2016-11-25T03:10Z		TAXON_MATCH_FUZZY
1349026855	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS295543349	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Bale Mts--Harenna Forest	e2e717bf-551a-4917-bdc9-4fa0f342c530	6.748	39.7147							2015-01-02T01:00Z	2	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS295543349			CC0_1_0		obsr188812			2016-11-25T03:09Z		TAXON_MATCH_FUZZY
