gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
330909565	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	YZERFONTEIN	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.375	18.125							1989-12-31T01:00Z	31	12	1989	5229384	5229384	HUMAN_OBSERVATION	7258	209284	209284-3-4897927		RK BROOKE, G AVERY	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909564	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HANGKLIP	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	18.875							1989-02-24T01:00Z	24	2	1989	5229384	5229384	HUMAN_OBSERVATION	7258	209108	209108-3-4891495		S MCLENNAN	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909563	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	ROBERTSON	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.875	19.875							1986-07-31T02:00Z	31	7	1986	5229384	5229384	HUMAN_OBSERVATION	7258	209085	209085-3-4890689		A SCOTT, M SCOTT	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909562	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	& DD ELIM	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.625	19.875							1985-08-31T02:00Z	31	8	1985	5229384	5229384	HUMAN_OBSERVATION	7258	209036	209036-3-4889982		DG ALLAN	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909561	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	& CA VELDDRIF	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-32.875	18.125							1989-05-04T02:00Z	4	5	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208965	208965-3-4887916		A PERROTT	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909560	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	LAMBERT'S BAY	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-32.125	18.375							1989-05-06T02:00Z	6	5	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208852	208852-3-4882535		D FRYLINCK, MM FRYLINCK	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909559	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	& AD CAPE PENINSULA	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.125	18.375							1987-02-01T01:00Z	1	2	1987	5229384	5229384	HUMAN_OBSERVATION	7258	208819	208819-3-4881354		OM VON KASCHKE	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909558	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	& AD CAPE PENINSULA	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.125	18.375							1987-05-01T02:00Z	1	5	1987	5229384	5229384	HUMAN_OBSERVATION	7258	208818	208818-3-4881279		OM VON KASCHKE	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909557	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	YZERFONTEIN	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.375	18.125							1989-11-30T01:00Z	30	11	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208791	208791-3-4879500		RK BROOKE, G AVERY, GD UNDERHILL, P CHADWICK	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909556	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	YZERFONTEIN	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.375	18.125							1989-10-31T01:00Z	31	10	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208790	208790-3-4879420		RK BROOKE, G AVERY, GD UNDERHILL	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909555	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HERMANUS	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.125							1989-09-01T02:00Z	1	9	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208715	208715-3-4877022		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909554	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	STANFORD	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.375							1989-09-01T02:00Z	1	9	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208713	208713-3-4876881		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909553	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	YZERFONTEIN	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.375	18.125							1989-08-31T02:00Z	31	8	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208684	208684-3-4875875		RK BROOKE, G AVERY, GD UNDERHILL, P CHADWICK	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909552	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HERMANUS	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.125							1989-05-01T02:00Z	1	5	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208669	208669-3-4875270		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909551	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HERMANUS	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.125							1989-06-01T02:00Z	1	6	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208668	208668-3-4875185		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909550	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HANGKLIP	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	18.875							1989-04-03T02:00Z	3	4	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208574	208574-3-4871866		AD HES	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909549	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HERMANUS	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.125							1989-07-01T02:00Z	1	7	1989	5229384	5229384	HUMAN_OBSERVATION	7258	208550	208550-3-4870891		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
